CodigoFaculdade;CodigoCurso;CNAEF_1D;CNAEF_1D_Nome;CNAEF_2D;CNAEF_2D_Nome;CNAEF_3D;CNAEF_3D_Nome
0130;0759;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;312;Sociologia e Outros Estudos
0130;0867;200;Artes e Humanidades;220;Humanidades;223;Língua e Literatura Materna
0130;4435;800;Serviços;810;Serviços Pessoais;812;Turismo e Lazer
0130;4712;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente
0130;5050;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0130;6129;200;Artes e Humanidades;220;Humanidades;226;Filosofia e Ética
0130;9011;400;Ciências, Matemática e Informática;520;Engenharia e Técnicas Afins;421;Biologia e Bioquímica
0130;9011;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0130;9181;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia
0130;9219;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;311;Psicologia
0130;9254;800;Serviços;810;Serviços Pessoais;812;Turismo e Lazer
0130;9272;300;Ciências Sociais, Comércio e Direito;320;Informação e Jornalismo;321;Jornalismo e Reportagem
0130;9699;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0130;9718;300;Ciências Sociais, Comércio e Direito;320;Informação e Jornalismo;321;Jornalismo e Reportagem
0130;9756;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;313;Ciência Política e Cidadania
0130;9787;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia
0130;9853;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;144;Formação de Professores do Ensino Básico (1.º e 2.º Ciclos)
0200;0057;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0200;0063;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0200;0156;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;314;Economia
0200;0205;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal
0200;0213;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente
0200;0441;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração
0200;0487;400;Ciências, Matemática e Informática;480;Informática;481;Ciências Informáticas
0200;0536;200;Artes e Humanidades;140;Formação de Professores/Formadores e Ciências da Educação;222;Línguas e Literaturas Estrangeiras
0200;0537;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas
0200;0538;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras
0200;0539;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas
0200;0867;200;Artes e Humanidades;220;Humanidades;223;Língua e Literatura Materna
0200;4015;600;Agricultura;620;Agricultura, Silvicultura e Pescas;624;Pescas
0200;5573;700;Saúde e Protecção Social;720;Saúde;721;Medicina
0200;9351;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0200;9512;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0200;9512;400;Ciências, Matemática e Informática;720;Saúde;421;Biologia e Bioquímica
0200;9817;200;Artes e Humanidades;210;Artes;211;Belas-Artes
0201;0524;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras
0201;0530;200;Artes e Humanidades;220;Humanidades;223;Língua e Literatura Materna
0201;0534;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras
0201;0536;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras
0201;0538;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras
0201;0695;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;311;Psicologia
0201;0756;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia
0201;0867;200;Artes e Humanidades;220;Humanidades;223;Língua e Literatura Materna
0201;4078;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação
0201;4471;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;312;Sociologia e Outros Estudos
0201;4576;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras
0201;4591;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia
0201;4755;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação
0201;4756;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;311;Psicologia
0201;5140;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação
0201;6011;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia
0201;6281;200;Artes e Humanidades;210;Artes;210;Artes
0201;6326;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação
0201;6386;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;311;Psicologia
0201;6811;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação
0201;6895;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;311;Psicologia
0201;8369;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia
0201;8418;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia
0201;8509;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia
0201;9132;200;Artes e Humanidades;210;Artes;212;Artes do Espectáculo
0201;9204;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras
0201;9219;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;311;Psicologia
0201;9303;200;Artes e Humanidades;210;Artes;211;Belas-Artes
0201;9325;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;311;Psicologia
0201;9787;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia
0201;9817;200;Artes e Humanidades;210;Artes;211;Belas-Artes
0201;9821;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação
0201;9825;300;Ciências Sociais, Comércio e Direito;320;Informação e Jornalismo;322;Biblioteconomia, Arquivo e Documentação (BAD)
0201;9834;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras
0202;0054;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas
0202;0057;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0202;0213;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente
0202;0744;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra
0202;1127;400;Ciências, Matemática e Informática;140;Formação de Professores/Formadores e Ciências da Educação;421;Biologia e Bioquímica
0202;1127;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0202;5050;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0202;5175;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra
0202;9011;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0202;9013;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0202;9099;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente
0202;9391;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0202;9438;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra
0203;0063;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0203;0340;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;523;Electrónica e Automação
0203;0381;400;Ciências, Matemática e Informática;440;Ciências Físicas;441;Física
0203;0479;400;Ciências, Matemática e Informática;340;Ciências Empresariais;481;Ciências Informáticas
0203;0479;400;Ciências, Matemática e Informática;480;Informática;481;Ciências Informáticas
0203;0480;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;146;Formação de Professores e Formadores de Áreas Tecnológicas
0203;0487;400;Ciências, Matemática e Informática;480;Informática;481;Ciências Informáticas
0203;0559;400;Ciências, Matemática e Informática;460;Matemática e Estatística;461;Matemática
0203;4219;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;523;Electrónica e Automação
0203;5141;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;523;Electrónica e Automação
0203;6271;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0203;6803;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra
0203;6805;600;Agricultura;620;Agricultura, Silvicultura e Pescas;622;Floricultura e Jardinagem
0203;6866;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;522;Electricidade e Energia
0203;6998;500;Engenharia, Indústrias Transformadoras e Construção;580;Arquitectura e Construção;581;Arquitectura e Urbanismo
0203;8258;500;Engenharia, Indústrias Transformadoras e Construção;580;Arquitectura e Construção;581;Arquitectura e Urbanismo
0203;8419;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal
0203;9003;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal
0203;9011;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0203;9011;400;Ciências, Matemática e Informática;140;Formação de Professores/Formadores e Ciências da Educação;421;Biologia e Bioquímica
0203;9013;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0203;9015;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0203;9016;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;524;Tecnologia dos Processos Químicos
0203;9041;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra
0203;9119;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;523;Electrónica e Automação
0203;9223;400;Ciências, Matemática e Informática;440;Ciências Físicas;442;Química
0203;9263;600;Agricultura;620;Agricultura, Silvicultura e Pescas;624;Pescas
0203;9286;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;523;Electrónica e Automação
0203;9351;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0203;9358;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0203;9365;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;523;Electrónica e Automação
0203;9391;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0203;9494;700;Saúde e Protecção Social;720;Saúde;727;Ciências Farmacêuticas
0203;9508;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente
0203;9578;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;523;Electrónica e Automação
0203;9592;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0203;9595;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente
0203;9612;700;Saúde e Protecção Social;720;Saúde;727;Ciências Farmacêuticas
0204;0156;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;314;Economia
0204;0441;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração
0204;0759;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;312;Sociologia e Outros Estudos
0204;4061;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;314;Economia
0204;4061;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;314;Economia
0204;4431;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração
0204;4659;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;342;Marketing e Publicidade
0204;6147;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração
0204;6312;800;Serviços;810;Serviços Pessoais;812;Turismo e Lazer
0204;6812;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;312;Sociologia e Outros Estudos
0204;6920;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;343;Finanças, Banca e Seguros
0204;9081;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;314;Economia
0204;9152;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração
0204;9240;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;312;Sociologia e Outros Estudos
0204;9314;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;342;Marketing e Publicidade
0204;M148;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração
0205;0025;500;Engenharia, Indústrias Transformadoras e Construção;580;Arquitectura e Construção;581;Arquitectura e Urbanismo
0205;0205;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal
0205;0226;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;524;Tecnologia dos Processos Químicos
0205;4036;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;524;Tecnologia dos Processos Químicos
0205;9358;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0205;9592;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0300;0003;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração
0300;0048;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0300;0054;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas
0300;0136;200;Artes e Humanidades;210;Artes;214;Design
0300;0156;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;314;Economia
0300;0182;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;143;Formação de Educadores de Infância
0300;0213;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente
0300;0228;500;Engenharia, Indústrias Transformadoras e Construção;540;Indústrias Transformadoras;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e outros)
0300;0231;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;523;Electrónica e Automação
0300;0233;500;Engenharia, Indústrias Transformadoras e Construção;580;Arquitectura e Construção;582;Construção Civil e Engenharia Civil
0300;0244;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;523;Electrónica e Automação
0300;0264;400;Ciências, Matemática e Informática;440;Ciências Físicas;441;Física
0300;0284;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra
0300;0290;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;529;Engenharia e Técnicas Afins - programas não classificados noutra área de formação
0300;0302;500;Engenharia, Indústrias Transformadoras e Construção;540;Indústrias Transformadoras;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e outros)
0300;0304;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;521;Metalurgia e Metalomecânica
0300;0331;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;524;Tecnologia dos Processos Químicos
0300;0374;400;Ciências, Matemática e Informática;440;Ciências Físicas;441;Física
0300;0383;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas
0300;0416;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração
0300;0448;800;Serviços;810;Serviços Pessoais;812;Turismo e Lazer
0300;0448;800;Serviços;340;Ciências Empresariais;812;Turismo e Lazer
0300;0494;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas
0300;0559;400;Ciências, Matemática e Informática;460;Matemática e Estatística;461;Matemática
0300;0560;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas
0300;0560;100;Educação;460;Matemática e Estatística;145;Formação de Professores de Áreas Disciplinares Específicas
0300;0568;400;Ciências, Matemática e Informática;460;Matemática e Estatística;461;Matemática
0300;0592;100;Educação;210;Artes;146;Formação de Professores e Formadores de Áreas Tecnológicas
0300;0592;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;146;Formação de Professores e Formadores de Áreas Tecnológicas
0300;0596;200;Artes e Humanidades;210;Artes;213;Áudio-Visuais e Produção dos Media
0300;0623;500;Engenharia, Indústrias Transformadoras e Construção;580;Arquitectura e Construção;581;Arquitectura e Urbanismo
0300;0625;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;143;Formação de Educadores de Infância
0300;0630;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas
0300;0633;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas
0300;0636;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas
0300;0656;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;144;Formação de Professores do Ensino Básico (1.º e 2.º Ciclos)
0300;0663;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;146;Formação de Professores e Formadores de Áreas Tecnológicas
0300;0705;400;Ciências, Matemática e Informática;520;Engenharia e Técnicas Afins;442;Química
0300;0705;400;Ciências, Matemática e Informática;440;Ciências Físicas;442;Química
0300;0707;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;144;Formação de Professores do Ensino Básico (1.º e 2.º Ciclos)
0300;1043;400;Ciências, Matemática e Informática;440;Ciências Físicas;442;Química
0300;1497;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;347;Enquadramento na Organização/Empresa
0300;1525;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras
0300;1613;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras
0300;1640;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras
0300;1700;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;524;Tecnologia dos Processos Químicos
0300;1772;400;Ciências, Matemática e Informática;480;Informática;481;Ciências Informáticas
0300;2855;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;143;Formação de Educadores de Infância
0300;2857;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;144;Formação de Professores do Ensino Básico (1.º e 2.º Ciclos)
0300;4078;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação
0300;4084;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra
0300;4117;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;344;Contabilidade e Fiscalidade
0300;4140;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação
0300;4159;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;314;Economia
0300;4198;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;523;Electrónica e Automação
0300;4210;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;521;Metalurgia e Metalomecânica
0300;4246;500;Engenharia, Indústrias Transformadoras e Construção;540;Indústrias Transformadoras;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e outros)
0300;4251;300;Ciências Sociais, Comércio e Direito;320;Informação e Jornalismo;321;Jornalismo e Reportagem
0300;4270;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas
0300;4270;100;Educação;440;Ciências Físicas;145;Formação de Professores de Áreas Disciplinares Específicas
0300;4272;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas
0300;4274;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente
0300;4297;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;144;Formação de Professores do Ensino Básico (1.º e 2.º Ciclos)
0300;4334;200;Artes e Humanidades;220;Humanidades;223;Língua e Literatura Materna
0300;4397;400;Ciências, Matemática e Informática;440;Ciências Físicas;441;Física
0300;4454;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração
0300;4459;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração
0300;4460;800;Serviços;810;Serviços Pessoais;812;Turismo e Lazer
0300;4468;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra
0300;4623;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;144;Formação de Professores do Ensino Básico (1.º e 2.º Ciclos)
0300;4660;400;Ciências, Matemática e Informática;460;Matemática e Estatística;461;Matemática
0300;4670;200;Artes e Humanidades;210;Artes;212;Artes do Espectáculo
0300;4699;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0300;4707;500;Engenharia, Indústrias Transformadoras e Construção;540;Indústrias Transformadoras;544;Indústrias Extractivas
0300;4767;400;Ciências, Matemática e Informática;440;Ciências Físicas;442;Química
0300;4775;400;Ciências, Matemática e Informática;440;Ciências Físicas;442;Química
0300;4854;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação
0300;4912;700;Saúde e Protecção Social;720;Saúde;723;Enfermagem
0300;4921;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração
0300;4940;200;Artes e Humanidades;210;Artes;211;Belas-Artes
0300;4970;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente
0300;5050;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0300;5063;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0300;5080;500;Engenharia, Indústrias Transformadoras e Construção;540;Indústrias Transformadoras;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e outros)
0300;5108;400;Ciências, Matemática e Informática;420;Ciências da Vida;422;Ciências do Ambiente
0300;5109;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0300;5112;700;Saúde e Protecção Social;720;Saúde;721;Medicina
0300;5127;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação
0300;5140;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação
0300;5146;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;524;Tecnologia dos Processos Químicos
0300;5154;400;Ciências, Matemática e Informática;440;Ciências Físicas;441;Física
0300;5229;400;Ciências, Matemática e Informática;440;Ciências Físicas;442;Química
0300;5242;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;314;Economia
0300;5299;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;523;Electrónica e Automação
0300;5309;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0300;5355;200;Artes e Humanidades;220;Humanidades;226;Filosofia e Ética
0300;5360;400;Ciências, Matemática e Informática;440;Ciências Físicas;441;Física
0300;5398;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração
0300;5550;400;Ciências, Matemática e Informática;460;Matemática e Estatística;461;Matemática
0300;5611;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação
0300;5631;700;Saúde e Protecção Social;720;Saúde;723;Enfermagem
0300;5640;200;Artes e Humanidades;210;Artes;212;Artes do Espectáculo
0300;5720;400;Ciências, Matemática e Informática;440;Ciências Físicas;442;Química
0300;5744;400;Ciências, Matemática e Informática;420;Ciências da Vida;422;Ciências do Ambiente
0300;5895;800;Serviços;810;Serviços Pessoais;812;Turismo e Lazer
0300;6005;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração
0300;6031;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação
0300;6037;700;Saúde e Protecção Social;720;Saúde;726;Terapia e Reabilitação
0300;6063;200;Artes e Humanidades;210;Artes;211;Belas-Artes
0300;6136;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra
0300;6137;700;Saúde e Protecção Social;720;Saúde;723;Enfermagem
0300;6152;800;Serviços;810;Serviços Pessoais;812;Turismo e Lazer
0300;6183;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras
0300;6198;200;Artes e Humanidades;210;Artes;212;Artes do Espectáculo
0300;6242;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente
0300;6408;200;Artes e Humanidades;210;Artes;213;Áudio-Visuais e Produção dos Media
0300;6430;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras
0300;6431;500;Engenharia, Indústrias Transformadoras e Construção;580;Arquitectura e Construção;581;Arquitectura e Urbanismo
0300;6432;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra
0300;6433;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente
0300;6434;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
